Draw;g;r;pb;z
208;-0.3;2.4;0.9;3.9
209;-1.2;2.8;0.5;-7.3
210;-5.0;1.9;-0.1;-5.0
211;3.9;2.9;2.3;-1.6
212;1.8;2.8;1.6;1.2
213;0.7;2.3;1.1;-16.6
214;2.7;2.6;1.0;-3.8
215;-1.1;2.2;-0.3;-0.7
216;1.7;2.5;0.8;-8.3
217;0.4;2.1;0.7;-7.3
218;1.6;3.1;1.0;13.7
219;-1.4;2.3;1.9;-17.0
220;-1.3;1.9;2.3;-11.8
221;1.7;2.7;1.8;-16.2
222;1.1;2.8;1.5;-1.5
223;-1.8;2.0;1.1;2.8
224;-3.2;1.9;0.2;-6.0
225;1.8;3.4;1.3;8.8
226;0.7;3.0;1.1;6.8
227;-0.9;3.4;1.1;1.4
228;2.1;2.9;1.3;1.7
229;-0.9;2.1;1.9;-24.7
230;-0.4;1.9;1.0;-19.6
231;-0.6;2.3;1.8;0.2
232;2.3;3.2;2.8;3.8
233;-3.2;2.1;2.4;-10.7
234;-3.0;2.4;-0.7;0.3
235;-1.6;2.6;1.8;4.0
236;1.1;2.8;0.8;-5.1
237;-3.9;2.2;2.8;-4.4
238;2.1;2.3;2.3;-6.5
239;-2.7;2.3;-0.2;-11.7
240;1.8;2.2;1.5;-18.4
241;-3.6;2.2;-0.1;-0.3
242;0.2;2.6;1.6;-6.2
243;-0.5;2.5;0.9;-7.8
244;-0.2;2.8;1.0;4.1
245;0.7;3.1;1.6;5.0
246;4.5;2.8;2.3;0.7
247;4.0;2.8;1.9;-2.1
248;2.3;3.5;-0.3;15.9
249;-3.2;3.2;0.7;9.9
250;2.3;3.2;1.1;5.5
251;1.0;1.9;1.0;-10.0
252;1.4;3.0;1.3;6.8
253;0.1;3.2;-0.1;3.4
254;0.7;1.6;4.0;-25.4
255;0.6;2.7;0.8;3.1
256;0.2;2.9;2.6;-1.4
257;-1.6;2.5;-0.6;-6.0
258;1.3;2.8;1.5;5.0
259;2.8;2.5;2.3;0.3
260;0.9;2.9;0.9;8.8
261;-1.7;2.8;0.7;7.9
262;-2.9;1.9;1.6;-12.1
263;-1.0;2.5;1.4;-13.0
264;0.3;1.7;0.0;-21.9
265;0.9;3.2;0.5;11.6
266;-3.6;2.0;-1.0;-10.4
267;-4.4;1.8;2.4;-12.8
268;-0.6;2.4;1.4;-8.0
269;0.6;3.1;0.6;7.1
270;-2.5;2.1;0.9;0.8
271;-1.0;2.1;0.9;-6.7
272;-1.4;2.4;0.6;-5.2
273;3.5;1.9;0.5;-28.4
274;1.6;1.8;2.2;-10.2
275;-4.2;2.8;0.6;7.6
276;-1.5;3.2;-0.8;8.7
277;-0.1;2.4;0.1;-14.2
278;-1.3;2.6;-0.5;1.5
279;-1.6;2.3;1.9;-5.6
280;1.1;2.8;0.6;6.6
281;-0.3;2.5;0.8;-5.2
282;-0.7;2.4;1.4;8.4
283;0.5;2.9;1.5;-5.6
284;-0.7;2.4;1.5;-16.8
285;-1.6;3.2;-0.3;6.9
286;-0.4;1.7;0.3;-7.7
287;3.8;2.4;1.9;-20.8
288;0.4;3.1;0.2;17.9
289;-0.3;2.6;1.6;-5.1
290;-1.6;2.4;0.1;-1.8
291;-0.8;2.9;2.6;1.2
292;1.3;2.9;2.4;-2.6
293;-5.8;2.1;-0.2;-2.1
294;-0.9;2.4;2.1;0.3
295;-0.2;2.6;0.8;7.6
296;1.5;2.5;1.2;-1.8
297;1.9;2.9;0.6;-1.6
298;-0.8;2.6;0.7;2.4
299;2.7;2.9;2.3;-6.5
300;0.7;2.6;-0.5;-9.9
301;-2.4;2.2;0.7;-9.3
302;1.1;2.3;2.1;-10.7
303;-0.5;2.7;0.3;-1.1
304;-0.6;2.9;0.6;-8.8
305;1.9;2.3;0.7;-4.4
306;0.5;2.6;1.1;6.5
307;-2.6;2.3;0.1;-12.6
308;-4.8;2.9;1.9;14.1
309;-1.0;2.3;1.5;-0.3
310;-0.1;3.0;1.5;0.9
311;1.7;3.5;0.0;15.0
312;-0.8;2.0;2.6;-7.8
313;-6.5;1.8;0.9;-1.1
314;-3.3;2.5;0.5;4.4
315;-2.6;2.7;1.2;7.4
316;-2.1;2.7;-0.1;9.2
317;-0.8;2.8;1.3;2.0
318;3.3;2.4;2.4;-15.6
319;-5.5;2.4;0.4;9.9
320;1.4;3.0;-0.2;7.3
321;-3.8;2.2;1.6;4.7
322;-2.9;2.7;0.8;3.4
323;4.3;2.7;2.0;-11.5
324;-4.0;2.2;-1.2;-6.7
325;2.3;3.3;0.8;0.0
326;0.8;2.8;0.7;-7.1
327;1.9;3.0;3.6;-6.5
328;0.7;2.2;1.7;-13.4
329;2.7;2.2;1.9;-8.5
330;-0.5;2.6;0.4;-4.4
331;-2.7;1.9;2.9;-24.4
332;2.4;2.7;0.1;-6.5
333;-2.0;2.0;1.1;-3.4
334;-0.6;2.2;-0.4;-11.0
335;2.5;2.1;3.1;-22.6
336;0.0;2.7;1.9;-15.0
337;0.5;2.1;2.7;-22.6
338;-1.0;2.8;1.4;-6.6
339;2.9;3.2;2.3;-0.6
340;-4.7;1.8;1.3;-8.6
341;1.7;2.3;-1.2;-13.3
342;0.3;2.2;2.3;-6.3
343;1.2;2.4;2.2;-14.4
344;-3.8;2.4;1.4;-7.4
345;0.9;2.8;1.0;4.0
346;3.1;3.1;1.7;1.8
347;0.0;2.3;1.4;-8.6
348;-0.9;2.4;0.5;-5.5
349;0.0;3.4;0.5;9.1
350;1.9;3.4;2.3;13.4
351;2.2;2.8;1.3;3.7
352;-3.0;3.3;-0.5;7.9
353;1.6;1.6;2.4;-20.7
354;1.6;3.4;0.3;-2.4
355;1.9;2.6;1.0;-1.4
356;0.5;2.5;-0.4;-0.8
357;2.7;2.7;-0.2;7.9
358;1.7;2.9;-0.5;-8.1
359;-0.5;2.5;0.3;-9.3
360;-5.2;2.4;-0.6;-0.3
361;1.1;2.7;2.1;-10.5
362;2.9;2.6;1.4;2.7
363;0.5;3.0;1.0;-2.2
364;-0.1;2.9;0.0;2.6
365;5.7;2.8;1.5;2.5
366;0.0;3.4;-0.8;16.6
367;-1.1;2.1;0.6;-0.3
368;-1.1;2.8;0.5;-1.0
369;-1.5;1.9;0.7;-15.7
370;0.5;2.0;2.7;-18.8
371;-0.5;1.6;2.3;-17.1
372;3.2;2.7;0.7;-16.4
373;-2.0;2.1;0.0;-7.9
374;-2.0;2.2;0.9;3.8
375;-4.1;2.3;0.8;0.0
376;0.2;2.9;-0.7;2.0
377;-1.2;2.5;1.8;-3.3
378;1.0;2.8;1.4;-0.1
379;4.9;2.6;2.7;-5.8
380;-2.4;2.4;-2.1;0.3
381;-1.1;2.6;2.9;-1.5
382;3.6;2.8;1.5;-8.8
383;2.2;2.9;2.2;2.8
384;2.5;2.5;1.0;2.7
385;-1.6;1.8;2.9;-26.3
386;-2.2;2.5;0.8;-2.4
387;4.2;2.8;1.9;-1.2
388;0.0;2.8;1.2;0.2
389;-0.6;3.1;-0.2;8.2
390;2.1;2.7;0.6;-1.6
391;-2.4;2.3;-1.5;-2.5
392;0.0;2.8;0.6;5.1
393;2.6;2.8;1.3;-11.3
394;2.2;2.0;2.5;-16.2
395;-3.9;2.7;1.0;7.4
396;1.2;2.4;0.2;-6.5
397;0.9;2.4;2.7;-13.1
398;1.7;2.6;1.8;-18.1
399;-0.3;2.7;-0.2;-2.1
400;-3.5;1.1;0.8;-27.6
401;7.0;3.0;1.6;-0.3
402;0.0;2.8;1.7;6.3
403;-2.1;3.1;0.0;6.3
404;1.6;2.3;1.1;-6.6
405;1.4;1.9;2.7;-28.9
406;6.0;3.0;2.1;-1.0
407;-2.6;2.4;3.1;-7.3
408;0.9;2.7;0.8;-0.9
409;-0.8;2.6;2.0;-5.9
410;-1.7;1.9;1.2;-8.3
411;1.4;3.2;1.2;10.3
412;-1.0;2.9;1.4;8.1
413;-0.9;3.1;2.1;7.1
414;-1.8;2.5;0.4;-3.8
415;-0.4;1.8;0.8;-16.2
416;0.9;2.8;1.9;1.8
417;-1.8;2.3;1.5;-2.1
418;-2.3;1.9;2.1;-23.0
419;-3.4;2.4;0.5;-9.3
420;-2.1;2.0;1.5;-17.1
421;4.0;2.4;2.8;-25.6
422;2.3;2.4;-0.3;-3.8
423;-4.0;2.9;-2.0;20.7
424;-1.0;2.1;1.8;-9.6
425;-1.4;2.3;1.1;-10.1
426;0.4;2.6;2.2;4.2
427;-1.2;2.2;3.1;1.5
428;1.6;2.3;-0.8;-19.6
429;0.1;2.1;0.0;-14.4
430;0.8;2.9;-0.2;10.2
431;1.0;3.1;2.2;-0.5
432;0.5;2.3;-0.4;-6.9
433;0.6;2.4;4.2;-23.1
434;3.3;3.1;1.0;-1.9
435;0.0;1.9;0.9;-15.6
436;0.7;2.5;-0.1;-5.6
437;1.7;2.8;1.1;3.7
438;0.5;3.0;1.8;4.6
439;-5.4;2.1;0.7;-8.0
440;1.0;2.3;1.3;-11.2
441;2.7;3.0;-0.4;-1.1
442;1.0;2.9;1.1;1.2
443;0.0;2.2;0.5;2.9
444;0.7;2.3;3.4;1.1
445;-1.8;2.8;-0.1;8.3
446;2.1;3.0;1.6;0.0
447;2.6;1.8;2.1;-20.6
448;-1.1;1.8;1.9;-34.2
449;1.6;2.5;3.3;-12.9
450;3.2;2.8;1.2;3.4
451;-1.7;1.8;1.9;3.8
452;3.1;2.8;3.0;0.0
453;0.2;2.0;2.4;-11.7
454;0.2;2.5;-0.5;-4.0
455;-2.1;2.4;0.4;-4.2
456;1.0;2.4;1.1;-1.1
457;0.2;2.9;0.2;-0.3
458;3.3;2.8;3.3;-3.4
459;-2.1;2.3;1.3;-8.4
460;-1.9;2.0;2.5;0.7
461;1.6;3.3;1.5;11.3
462;-2.3;2.1;0.0;-16.7
463;2.3;3.0;-0.5;10.0
464;2.5;2.9;2.5;-9.3
465;-1.1;2.2;2.3;-4.6
466;3.2;2.7;-1.2;-5.9
467;1.0;3.1;0.6;4.3
468;-2.0;2.6;-0.3;3.7
469;-2.6;2.6;-1.4;9.8
470;-0.6;1.8;2.8;-18.7
471;-2.4;2.1;0.0;-17.2
472;-0.5;3.3;1.8;4.4
473;-1.5;2.0;0.9;-11.3
474;0.6;1.9;4.7;-12.9
475;-3.0;2.1;0.4;-10.0
476;3.1;3.0;-0.2;11.0
477;2.8;2.4;3.1;-5.6
478;2.4;2.0;1.1;-18.4
479;-0.8;2.6;1.1;2.2
480;4.1;3.0;2.4;-13.6
481;0.7;2.3;0.0;-9.5
482;-4.6;2.1;0.8;3.4
483;-2.0;3.0;1.7;3.8
484;1.2;2.0;2.6;-11.1
485;2.1;2.7;3.2;-2.8
486;3.1;2.8;0.0;-2.7
487;1.2;2.4;1.6;-11.2
488;-0.4;2.5;0.4;2.7
489;-3.8;2.0;4.1;-6.8
490;3.2;3.0;1.6;9.7
491;-0.2;3.2;0.3;13.9
492;2.0;2.4;1.8;-5.7
493;4.3;3.1;-0.2;-0.7
494;-0.2;3.2;0.9;7.2
495;-2.5;2.4;0.9;-5.8
496;3.4;1.8;3.1;-17.1
497;-0.9;2.9;0.1;18.6
498;1.3;2.4;1.0;-9.6
499;-2.2;2.2;3.5;-10.8
500;1.0;2.4;0.9;-1.4
501;-3.2;1.9;-0.3;-3.5
502;-1.6;2.4;-0.7;-3.8
503;-1.0;2.3;2.2;-20.7
504;-1.9;2.4;0.7;8.4
505;0.6;2.6;-0.3;2.8
506;1.4;2.5;3.2;-9.2
507;2.0;2.9;3.5;-7.8
508;-1.6;2.5;1.0;-3.5
509;0.0;2.3;1.2;-6.3
510;-3.4;1.9;2.1;-5.6
511;-2.6;2.0;0.0;-4.2
512;3.7;2.3;1.7;4.4
513;1.8;2.5;2.9;9.6
514;1.3;2.8;0.4;-4.5
515;1.8;2.6;0.8;-5.8
516;-0.4;2.5;2.4;-2.0
517;2.0;2.6;1.6;-12.3
518;1.5;3.0;0.7;1.1
519;1.3;2.4;2.4;-14.2
520;-1.1;2.7;1.0;6.6
521;1.0;2.2;1.7;-6.0
522;-2.2;2.5;1.3;-0.4
523;0.0;1.6;1.2;-12.8
524;3.3;3.3;3.2;10.3
525;2.3;2.6;1.9;3.6
526;-2.1;2.4;1.4;-3.2
527;0.7;2.9;1.9;-7.6
528;-3.4;2.8;1.4;-4.2
529;2.4;2.9;1.2;-7.2
530;1.6;2.3;2.6;-14.1
531;2.1;2.1;2.4;-6.1
532;3.3;1.6;1.8;-15.9
533;0.2;2.2;1.8;-19.7
534;-0.1;2.8;3.1;4.6
535;0.4;2.2;1.9;-3.0
536;5.3;2.4;1.7;-16.7
537;0.0;2.1;0.7;-5.7
538;-1.0;1.6;2.6;-16.4
539;-2.1;2.0;0.8;-15.6
540;-3.1;2.1;-0.1;-1.6
541;-2.6;1.6;0.1;-18.7
542;0.3;2.8;-0.5;-4.0
543;-1.9;3.1;1.3;10.1
544;-1.4;2.5;1.3;-9.2
545;0.3;2.1;1.2;-17.0
546;2.4;2.8;0.3;1.9
547;1.7;2.1;1.3;-16.5
548;-2.8;1.9;0.5;-8.5
549;-1.3;2.4;2.7;-5.3
550;-2.9;1.6;0.7;-23.1
551;0.3;2.6;0.6;3.4
552;-1.4;2.5;1.4;1.4
553;-0.4;2.3;1.1;-2.1
554;1.6;2.2;1.5;-7.7
555;-0.2;2.1;-0.2;-17.0
556;1.5;3.1;1.7;0.6
557;-1.8;1.7;-0.1;-7.7
558;-0.4;2.7;0.1;4.9
559;0.8;2.6;1.3;1.6
560;-0.6;2.2;0.0;-0.8
561;-3.0;2.8;0.5;5.5
562;0.0;2.9;-0.7;1.2
563;1.0;2.9;0.6;3.4
564;1.6;2.7;1.5;-7.5
565;3.7;2.7;2.0;-1.5
566;1.7;3.0;3.6;-11.6
567;0.1;2.1;2.1;-5.1
568;0.5;2.5;0.6;-3.5
569;-2.1;2.9;0.0;0.8
570;0.0;2.5;-0.5;-2.7
571;-1.5;1.6;2.7;-12.4
572;1.7;2.5;1.8;-6.6
573;-4.8;2.2;-0.2;-1.7
574;2.4;2.4;2.2;-2.3
575;-2.8;2.4;0.1;0.7
576;-2.5;3.2;0.1;8.0
577;-2.4;2.9;-0.8;3.2
578;0.4;2.9;1.3;1.9
579;0.0;1.9;0.9;-9.0
580;2.5;3.2;0.4;7.4
581;-1.2;2.2;-1.4;-9.1
582;-1.0;2.2;1.1;-12.8
583;1.2;2.5;1.8;-14.0
584;-1.9;2.1;1.7;-14.0
585;-1.9;2.3;-0.5;-11.9
586;-4.2;1.9;0.2;-3.3
587;3.2;2.4;2.0;-14.9
588;0.7;2.7;1.4;0.1
589;3.1;3.4;0.8;8.1
590;0.3;2.7;2.4;0.8
591;1.4;3.0;-1.8;2.3
592;-0.8;2.2;0.3;-9.6
593;1.1;2.9;2.2;2.0
594;-0.9;2.1;3.3;-17.8
595;-0.3;3.2;0.4;11.6
596;0.3;2.2;2.2;-17.1
597;-1.7;2.4;2.4;-9.3
598;2.9;2.6;1.2;-2.7
599;-1.1;2.7;-0.4;-4.8
600;0.2;2.3;0.7;-5.4
601;-5.0;2.9;-0.8;3.6
602;0.5;3.3;1.5;16.2
603;3.4;3.5;-0.7;7.9
604;-0.8;2.3;3.1;-15.5
605;-1.0;3.2;-1.9;23.6
606;0.4;2.0;2.1;-20.7
607;1.4;2.5;0.7;-4.5
608;0.0;2.7;0.7;-9.1
609;2.0;3.4;0.9;15.3
610;-0.1;3.5;0.0;14.1
611;3.3;2.0;2.4;-15.1
612;1.4;2.7;3.9;-10.4
613;1.5;2.4;1.7;-5.0
614;-2.8;2.2;-1.0;11.0
615;-1.0;2.2;1.3;-12.0
616;-4.4;2.5;1.2;3.9
617;1.6;1.8;1.6;-12.5
618;4.1;3.0;0.6;-0.3
619;-2.3;2.4;1.5;-6.2
620;-1.9;2.6;-0.4;-1.0
621;0.9;3.3;0.4;12.2
622;-0.8;1.5;2.8;-33.0
623;0.7;2.7;1.4;-10.1
624;0.0;2.3;1.9;-13.0
625;0.6;1.6;4.9;-18.8
626;4.3;2.5;3.3;-16.1
627;-2.6;1.8;0.7;1.5
628;0.2;2.2;-0.6;-16.3
629;1.2;2.3;1.8;-16.1
630;-0.9;3.1;1.1;5.1
631;-4.9;1.7;-0.3;-9.3
632;-1.3;3.0;1.5;5.3
633;-4.7;1.9;-0.4;6.6
634;-0.3;1.6;3.5;-14.8
635;-1.0;3.2;-0.4;12.3
636;-0.3;3.9;0.6;21.0
637;-1.1;2.6;1.5;4.7
638;2.6;2.8;0.6;-8.4
639;2.7;2.9;4.4;-8.2
640;0.6;2.4;1.1;-3.9
641;3.1;1.9;1.3;-2.8
642;-1.2;3.0;1.1;2.5
643;-1.1;2.7;0.4;-4.0
644;-1.1;2.7;1.2;-6.5
645;0.1;2.1;2.4;-18.6
646;2.9;3.0;2.8;-2.3
647;-1.1;2.1;1.3;-2.0
648;4.7;3.2;1.9;-5.5
649;0.7;1.9;-0.2;-17.1
650;-3.8;1.9;2.3;-18.7
651;-1.1;2.2;1.1;-16.9
652;1.2;2.2;1.5;-1.9
653;3.0;3.0;0.7;-4.9
654;2.2;2.3;1.0;-9.2
655;-0.8;2.9;0.1;9.6
656;2.4;2.7;1.1;0.1
657;0.7;2.0;3.5;1.1
658;2.1;3.4;3.4;-2.8
659;-1.2;2.3;-0.5;-7.9
660;-2.4;1.6;1.4;-22.0
661;-0.4;2.7;0.1;-1.2
662;-0.1;2.9;1.5;0.1
663;3.2;2.9;3.6;-11.7
664;-0.7;2.6;3.0;-8.5
665;3.2;2.8;1.7;-3.8
666;-0.8;2.3;0.6;-13.8
667;-1.4;2.8;0.7;0.4
668;-0.8;2.6;-0.2;17.1
669;2.6;2.7;1.1;1.9
670;2.2;3.1;0.9;12.0
671;1.5;2.4;3.2;-11.7
672;5.8;3.2;2.5;-10.8
673;-2.4;2.3;-0.5;-4.1
674;-2.3;2.3;0.7;-8.1
675;-2.4;1.7;1.5;-15.4
676;-4.5;2.0;-0.8;-3.8
677;2.2;2.5;1.0;1.9
678;2.8;1.8;1.6;-20.2
679;1.9;2.1;1.7;-20.5
680;2.3;2.3;2.0;-10.3
681;-2.8;2.6;0.5;5.6
682;2.9;2.8;-0.1;1.2
683;-0.4;2.8;1.8;0.3
684;-0.1;1.2;1.8;-23.0
685;-3.7;2.0;-2.6;-7.7
686;4.5;3.3;1.0;4.1
687;3.7;2.3;1.0;-8.6
688;-1.3;2.2;2.7;-15.2
689;-0.1;2.8;-0.5;0.7
690;0.6;3.1;-2.0;6.3
691;0.7;3.3;-0.4;20.1
692;-2.3;1.8;0.2;-13.0
693;0.3;3.2;-0.9;4.0
694;-1.9;1.6;2.1;-13.9
695;2.1;2.7;1.0;-3.9
696;0.1;2.6;0.3;0.8
697;0.0;2.5;0.1;-5.9
698;3.6;3.2;1.2;0.5
699;-1.6;2.4;1.4;-1.9
700;2.3;2.9;0.4;4.2
701;2.4;2.6;3.1;2.4
702;-0.5;2.2;4.1;-17.2
703;-1.4;3.0;0.6;12.9
704;4.5;2.9;1.5;7.2
705;-0.8;2.5;0.7;-1.5
706;-0.4;2.3;2.3;-7.3
707;2.0;2.7;1.0;-6.8
708;-2.1;2.1;3.5;-17.9
709;-2.0;2.2;2.5;-6.2
710;3.1;3.3;2.1;0.2
711;1.7;3.5;2.3;16.5
712;2.1;2.5;1.1;-10.2
713;0.6;2.8;0.9;-8.9
714;4.3;3.1;0.4;3.5
715;1.7;2.7;2.4;-4.4
716;-0.3;2.7;0.1;1.7
717;-3.5;1.8;1.8;-15.4
718;1.2;2.9;1.6;-3.1
719;-1.5;2.6;2.0;-0.8
720;-2.1;1.9;-0.1;-5.6
721;3.0;2.9;0.2;-0.8
722;0.5;2.4;2.1;-5.1
723;2.6;2.7;0.3;-7.0
724;-0.7;1.8;1.0;-17.9
725;1.2;2.9;0.4;-2.8
